"Category","Description"
"Neurological","This concerns your body's command center: the brain, spinal cord, and all the nerves that branch out to every part of your body. It includes conditions that affect how you think, move, feel, and sense the world. Examples are headaches, epilepsy, strokes, Alzheimer's disease, Parkinson's disease, multiple sclerosis (MS), and nerve damage."
"Oncological","This is the study and treatment of cancer. Cancer is a disease where abnormal cells grow uncontrollably and can invade other tissues. It can develop in almost any part of the body (e.g., breast, lung, colon, blood) and form tumors. Oncology deals with diagnosing these cancers, treating them (with chemo, radiation, surgery, etc.), and providing care."
"Ophthalmological","This is the specialty of medical and surgical care for your eyes and vision. It includes common problems like nearsightedness and farsightedness, more serious conditions like glaucoma and cataracts, eye injuries, and diseases that can affect the eye, like diabetic retinopathy."
"Oral","This focuses on health within your mouth, including your teeth, gums, tongue, and the roof and floor of your mouth. It covers tooth decay (cavities), gum disease (gingivitis and periodontitis), oral cancers, canker sores, and how oral health is connected to your overall health."
"Pediatric","This isn't about a specific body part but about the unique medical needs of infants, children, and adolescents. Children are not just small adults; they grow and develop in specific ways. This category includes childhood vaccines, developmental disorders, common childhood illnesses, and conditions that are specifically seen in or are different in younger people."
"Reproductive","This involves the organs and hormones responsible for having children. For women, this includes the uterus, ovaries, and breasts, covering conditions like endometriosis, fibroids, and ovarian cysts. For men, it involves the prostate and testes. It also includes sexual health, infertility, and menopause."
"Respiratory","This covers the system that allows you to breathe—your lungs, airways (windpipe and bronchial tubes), and the muscles that help you inhale and exhale. Common conditions include asthma, bronchitis, pneumonia, chronic obstructive pulmonary disease (COPD), and lung cancer."
"Toxicology","This is the study of poisons, chemicals, and overdoses. It deals with the harmful effects of substances, whether they are swallowed, inhaled, or absorbed through the skin. This includes accidental poisonings (like a child eating medication), drug overdoses, venomous bites, and exposure to environmental toxins or hazardous chemicals."
"Urinary","Also known as the renal system, this includes your kidneys, bladder, and the tubes that carry urine (ureters and urethra). It's your body's filtration and waste-removal system for liquids. Problems here include urinary tract infections (UTIs), kidney stones, bladder control issues (incontinence), and kidney disease or failure."
"Mental Health","This category deals with your emotional, psychological, and social well-being. It affects how you think, feel, and act. Conditions include depression, anxiety disorders, bipolar disorder, schizophrenia, post-traumatic stress disorder (PTSD), and addiction. Mental health is just as critical as physical health for your overall quality of life."
"Surgical","This refers to conditions that are a direct result of or related to a surgical procedure or operation. This can include post-operative infections, complications from anesthesia, problems with healing at the incision site, blood clots after surgery, or pain management during recovery."
"Lymphatic","This system is a network of tissues and organs (including lymph nodes, the spleen, and thymus) that help rid your body of toxins and waste. It's a key part of your immune system, carrying white blood cells throughout the body. Diseases in this category include lymphedema (swelling due to fluid buildup) and cancers like lymphoma."
