Disease,Category
alcohol abuse,Mental Health
carpal tunnel syndrome,Musculoskeletal
pituitary disorder,Endocrine
kidney stone,Urinary
autism,Neurological
cat scratch disease,Infectious
chronic glaucoma,Ophthalmological
retinal detachment,Ophthalmological
aplastic anemia,Hematological
overflow incontinence,Urinary
hemolytic anemia,Hematological
lateral epicondylitis (tennis elbow),Musculoskeletal
open wound of the eye,Ophthalmological
syphilis,Infectious
diabetic kidney disease,Endocrine
nose disorder,ear nose and throat
drug withdrawal,Mental Health
dental caries,Oral
hypercholesterolemia,Metabolic
fracture of the patella,Musculoskeletal
kidney failure,Urinary
fracture of the neck,Musculoskeletal
muscle spasm,Musculoskeletal
hemophilia,Hematological
hyperosmotic hyperketotic state,Endocrine
peritonsillar abscess,ear nose and throat
gastroparesis,Gastrointestinal
itching of unknown cause,Dermatological
polycythemia vera,Hematological
thrombocytopenia,Hematological
head and neck cancer,Oncological
pseudohypoparathyroidism,Endocrine
goiter,Endocrine
urge incontinence,Urinary
edward syndrome,Genetic
open wound of the arm,Musculoskeletal
muscular dystrophy,Neurological
mittelschmerz,Reproductive
corneal abrasion,Ophthalmological
anemia of chronic disease,Hematological
dysthymic disorder,Mental Health
scarlet fever,Infectious
hypertensive heart disease,Cardiovascular
drug abuse (barbiturates),Mental Health
polycystic ovarian syndrome (pcos),Endocrine
encephalitis,Neurological
cyst of the eyelid,Ophthalmological
balanitis,Reproductive
foreign body in the throat,ear nose and throat
drug abuse (cocaine),Mental Health
optic neuritis,Ophthalmological
alcohol withdrawal,Mental Health
premature atrial contractions (pacs),Cardiovascular
hemiplegia,Neurological
hammer toe,Musculoskeletal
open wound of the cheek,Oral
joint effusion,Musculoskeletal
open wound of the knee,Musculoskeletal
meningioma,Oncological
brain cancer,Oncological
placental abruption,Reproductive
seasonal allergies (hay fever),Immunological
lung cancer,Oncological
primary kidney disease,Urinary
uterine cancer,Oncological
dry eye of unknown cause,Ophthalmological
fibrocystic breast disease,Reproductive
fungal infection of the hair,Dermatological
tooth abscess,Oral
envenomation from spider or animal bite,Toxicology
vacterl syndrome,Genetic
vertebrobasilar insufficiency,Neurological
rectal disorder,Gastrointestinal
atonic bladder,Urinary
benign paroxysmal positional vertical (bppv),ear nose and throat
blepharospasm,Ophthalmological
sarcoidosis,Immunological
metastatic cancer,Oncological
trigger finger (finger disorder),Musculoskeletal
stye,Ophthalmological
hemochromatosis,Metabolic
osteochondroma,Musculoskeletal
cushing syndrome,Endocrine
typhoid fever,Infectious
vitreous degeneration,Ophthalmological
atrophic skin condition,Dermatological
aspergillosis,Infectious
uterine atony,Reproductive
trichinosis,Infectious
whooping cough,Infectious
open wound of the lip,Oral
subacute thyroiditis,Endocrine
oral mucosal lesion,Oral
open wound due to trauma,Musculoskeletal
intracerebral hemorrhage,Neurological
alzheimer disease,Neurological
vaginismus,Reproductive
systemic lupus erythematosis (sle),Immunological
premature ovarian failure,Reproductive
thoracic outlet syndrome,Musculoskeletal
ganglion cyst,Musculoskeletal
dislocation of the knee,Musculoskeletal
crohn disease,Gastrointestinal
postoperative infection,Infectious
folate deficiency,Metabolic
fluid overload,Metabolic
atrial flutter,Cardiovascular
skin disorder,Dermatological
floaters,Ophthalmological
tooth disorder,Oral
heart attack,Cardiovascular
open wound of the abdomen,Musculoskeletal
fracture of the leg,Musculoskeletal
oral thrush (yeast infection),Oral
pityriasis rosea,Dermatological
allergy to animals,Immunological
orthostatic hypotension,Cardiovascular
obstructive sleep apnea (osa),Respiratory
hypokalemia,Metabolic
psoriasis,Dermatological
dislocation of the shoulder,Musculoskeletal
intussusception,Gastrointestinal
cervicitis,Reproductive
abscess of the pharynx,ear nose and throat
primary thrombocythemia,Hematological
arthritis of the hip,Musculoskeletal
decubitus ulcer,Dermatological
hypernatremia,Metabolic
sensorineural hearing loss,ear nose and throat
chronic ulcer,Dermatological
osteoporosis,Musculoskeletal
ileus,Gastrointestinal
sickle cell crisis,Hematological
urethritis,Urinary
prostatitis,Reproductive
otitis externa (swimmer's ear),ear nose and throat
poisoning due to anticonvulsants,Toxicology
testicular torsion,Reproductive
tricuspid valve disease,Cardiovascular
urethral stricture,Urinary
vitamin d deficiency,Metabolic
hydatidiform mole,Reproductive
pain disorder affecting the neck,Musculoskeletal
tuberculosis,Infectious
pelvic fistula,Reproductive
acute bronchiolitis,Respiratory
presbyopia,Ophthalmological
dementia,Neurological
insect bite,Dermatological
paroxysmal ventricular tachycardia,Cardiovascular
congenital heart defect,Cardiovascular
connective tissue disorder,Immunological
foreign body in the eye,Ophthalmological
poisoning due to gas,Toxicology
pyogenic skin infection,Dermatological
endometrial hyperplasia,Reproductive
acanthosis nigricans,Dermatological
central atherosclerosis,Cardiovascular
viral exanthem,Dermatological
noninfectious gastroenteritis,Gastrointestinal
benign prostatic hyperplasia (bph),Reproductive
menopause,Reproductive
primary immunodeficiency,Immunological
ovarian cancer,Oncological
cataract,Ophthalmological
dislocation of the hip,Musculoskeletal
spinal stenosis,Musculoskeletal
intestinal obstruction,Gastrointestinal
heart contusion,Cardiovascular
congenital malformation syndrome,Genetic
sporotrichosis,Infectious
lymphangitis,Lymphatic
wernicke korsakoff syndrome,Neurological
intestinal disease,Gastrointestinal
acute bronchitis,Respiratory
persistent vomiting of unknown cause,Gastrointestinal
open wound of the foot,Musculoskeletal
myocarditis,Cardiovascular
preeclampsia,Reproductive
ischemic heart disease,Cardiovascular
neurofibromatosis,Genetic
chickenpox,Infectious
pancreatic cancer,Oncological
neuropathy due to drugs,Neurological
croup,Respiratory
idiopathic excessive menstruation,Reproductive
amblyopia,Ophthalmological
meckel diverticulum,Gastrointestinal
dislocation of the wrist,Musculoskeletal
ear drum damage,ear nose and throat
erectile dysfunction,Reproductive
temporary or benign blood in urine,Urinary
kidney disease due to longstanding hypertension,Urinary
chondromalacia of the patella,Musculoskeletal
onychomycosis,Dermatological
urethral disorder,Urinary
lyme disease,Infectious
iron deficiency anemia,Hematological
acute respiratory distress syndrome (ards),Respiratory
toxic multinodular goiter,Endocrine
open wound of the finger,Musculoskeletal
autonomic nervous system disorder,Neurological
psychosexual disorder,Mental Health
anemia,Hematological
tendinitis,Musculoskeletal
common cold,Respiratory
amyotrophic lateral sclerosis (als),Neurological
central retinal artery or vein occlusion,Ophthalmological
paroxysmal supraventricular tachycardia,Cardiovascular
venous insufficiency,Cardiovascular
trichomonas infection,Infectious
acne,Dermatological
depression,Mental Health
drug abuse,Mental Health
urinary tract obstruction,Urinary
diabetes insipidus,Endocrine
iridocyclitis,Ophthalmological
varicocele of the testicles,Reproductive
irritable bowel syndrome,Gastrointestinal
fracture of the foot,Musculoskeletal
ovarian cyst,Reproductive
chlamydia,Infectious
parasitic disease,Infectious
fracture of the jaw,Musculoskeletal
lipoma,Oncological
female genitalia infection,Reproductive
pulmonary hypertension,Cardiovascular
thyroid nodule,Endocrine
broken tooth,Oral
dumping syndrome,Gastrointestinal
lymphadenitis,Lymphatic
injury to the face,Musculoskeletal
aortic valve disease,Cardiovascular
rheumatoid arthritis,Musculoskeletal
spermatocele,Reproductive
impetigo,Infectious
anal fistula,Gastrointestinal
hypothermia,Metabolic
oppositional disorder,Mental Health
migraine,Neurological
diabetic peripheral neuropathy,Endocrine
testicular disorder,Reproductive
gestational diabetes,Endocrine
hidradenitis suppurativa,Dermatological
valley fever,Infectious
conjunctivitis due to bacteria,Ophthalmological
lewy body dementia,Neurological
multiple myeloma,Oncological
head injury,Neurological
ascending cholangitis,Hepatic
idiopathic irregular menstrual cycle,Reproductive
interstitial lung disease,Respiratory
mononeuritis,Neurological
malaria,Infectious
somatization disorder,Mental Health
hypovolemia,Metabolic
schizophrenia,Mental Health
knee ligament or meniscus tear,Musculoskeletal
endocarditis,Cardiovascular
sepsis,Infectious
heat stroke,Metabolic
cholecystitis,Gastrointestinal
cardiac arrest,Cardiovascular
cardiomyopathy,Cardiovascular
social phobia,Mental Health
meningitis,Infectious
spherocytosis,Hematological
hormone disorder,Endocrine
raynaud disease,Cardiovascular
reactive arthritis,Musculoskeletal
scabies,Infectious
ear wax impaction,ear nose and throat
hypertension of pregnancy,Reproductive
peripheral arterial embolism,Cardiovascular
rosacea,Dermatological
fracture of the skull,Musculoskeletal
uveitis,Ophthalmological
fracture of the facial bones,Musculoskeletal
tracheitis,Respiratory
jaw disorder,Oral
perirectal infection,Infectious
breast cyst,Reproductive
post-traumatic stress disorder (ptsd),Mental Health
kidney cancer,Oncological
vulvar cancer,Oncological
blepharitis,Ophthalmological
celiac disease,Gastrointestinal
cystitis,Urinary
sickle cell anemia,Hematological
subconjunctival hemorrhage,Ophthalmological
hemorrhoids,Gastrointestinal
contact dermatitis,Dermatological
sinus bradycardia,Cardiovascular
high blood pressure,Cardiovascular
pelvic inflammatory disease,Reproductive
liver disease,Hepatic
chronic constipation,Gastrointestinal
thyroid cancer,Oncological
flu,Infectious
friedrich ataxia,Neurological
tic (movement) disorder,Neurological
skin polyp,Dermatological
brachial neuritis,Neurological
cervical cancer,Oncological
adrenal adenoma,Endocrine
esophagitis,Gastrointestinal
gas gangrene,Infectious
yeast infection,Infectious
spina bifida,Neurological
drug poisoning due to medication,Toxicology
alcoholic liver disease,Hepatic
malignant hypertension,Cardiovascular
diverticulitis,Gastrointestinal
moyamoya disease,Neurological
heat exhaustion,Metabolic
psychotic disorder,Mental Health
frostbite,Dermatological
atrophy of the corpus cavernosum,Reproductive
smoking or tobacco addiction,Mental Health
sprain or strain,Musculoskeletal
essential tremor,Neurological
open wound of the ear,ear nose and throat
foreign body in the nose,ear nose and throat
idiopathic painful menstruation,Reproductive
down syndrome,Genetic
idiopathic infrequent menstruation,Reproductive
pneumothorax,Respiratory
de quervain disease,Musculoskeletal
fracture of the vertebra,Musculoskeletal
human immunodeficiency virus infection (hiv),Infectious
mumps,Infectious
subarachnoid hemorrhage,Neurological
acute fatty liver of pregnancy (aflp),Hepatic
ectropion,Ophthalmological
scar,Dermatological
lactose intolerance,Gastrointestinal
eustachian tube dysfunction (ear disorder),ear nose and throat
appendicitis,Gastrointestinal
graves disease,Endocrine
dissociative disorder,Mental Health
open wound of the face,Musculoskeletal
dislocation of the vertebra,Musculoskeletal
phimosis,Reproductive
hyperemesis gravidarum,Reproductive
pregnancy,Reproductive
thalassemia,Hematological
placenta previa,Reproductive
epidural hemorrhage,Neurological
septic arthritis,Musculoskeletal
athlete's foot,Dermatological
pleural effusion,Respiratory
aphakia,Ophthalmological
vulvar disorder,Reproductive
sialoadenitis,ear nose and throat
gynecomastia,Reproductive
urinary tract infection,Urinary
histoplasmosis,Infectious
erythema multiforme,Dermatological
scoliosis,Musculoskeletal
bunion,Musculoskeletal
arrhythmia,Cardiovascular
trigeminal neuralgia,Neurological
ankylosing spondylitis,Musculoskeletal
peripheral nerve disorder,Neurological
sebaceous cyst,Dermatological
poisoning due to antipsychotics,Toxicology
neurosis,Mental Health
prostate cancer,Oncological
cerebral edema,Neurological
dislocation of the finger,Musculoskeletal
birth trauma,Musculoskeletal
chronic pancreatitis,Gastrointestinal
hematoma,Musculoskeletal
carcinoid syndrome,Endocrine
open wound of the head,Musculoskeletal
seborrheic keratosis,Dermatological
burn,Dermatological
spontaneous abortion,Reproductive
genital herpes,Infectious
adjustment reaction,Mental Health
gallstone,Gastrointestinal
multiple sclerosis,Neurological
zenker diverticulum,Gastrointestinal
fracture of the pelvis,Musculoskeletal
pneumoconiosis,Respiratory
hyperlipidemia,Metabolic
ulcerative colitis,Gastrointestinal
male genitalia infection,Reproductive
hpv,Infectious
angina,Cardiovascular
injury to the spinal cord,Neurological
nasal polyp,ear nose and throat
lichen simplex,Dermatological
trichiasis,Ophthalmological
acariasis,Infectious
colorectal cancer,Oncological
skin pigmentation disorder,Dermatological
factitious disorder,Mental Health
lymphogranuloma venereum,Infectious
galactorrhea of unknown cause,Reproductive
g6pd enzyme deficiency,Metabolic
nerve impingement near the shoulder,Musculoskeletal
toxoplasmosis,Infectious
fibroadenoma,Reproductive
open wound of the hand,Musculoskeletal
missed abortion,Reproductive
diabetic ketoacidosis,Endocrine
granuloma inguinale,Infectious
obsessive compulsive disorder (ocd),Mental Health
injury of the ankle,Musculoskeletal
hyponatremia,Metabolic
stricture of the esophagus,Gastrointestinal
fracture of the ankle,Musculoskeletal
soft tissue sarcoma,Oncological
bone disorder,Musculoskeletal
epilepsy,Neurological
personality disorder,Mental Health
shingles (herpes zoster),Infectious
tourette syndrome,Neurological
avascular necrosis,Musculoskeletal
strep throat,Infectious
spinocerebellar ataxia,Neurological
osteomyelitis,Musculoskeletal
sjogren syndrome,Immunological
adhesive capsulitis of the shoulder,Musculoskeletal
viral hepatitis,Infectious
tonsillar hypertrophy,ear nose and throat
gastritis,Gastrointestinal
skin cancer,Oncological
rheumatic fever,Cardiovascular
aphthous ulcer,Oral
tonsillitis,ear nose and throat
intestinal cancer,Oncological
rocky mountain spotted fever,Infectious
stomach cancer,Oncological
developmental disability,Neurological
acute stress reaction,Mental Health
delirium,Neurological
callus,Dermatological
guillain barre syndrome,Neurological
lumbago,Musculoskeletal
deviated nasal septum,ear nose and throat
hemangioma,Dermatological
peripheral arterial disease,Cardiovascular
chronic back pain,Musculoskeletal
heart failure,Cardiovascular
conjunctivitis,Ophthalmological
herniated disk,Musculoskeletal
rhabdomyolysis,Musculoskeletal
breast infection (mastitis),Reproductive
abdominal aortic aneurysm,Cardiovascular
pulmonary embolism,Cardiovascular
conduct disorder,Mental Health
mastectomy,Surgical
epididymitis,Reproductive
premature rupture of amniotic membrane,Reproductive
molluscum contagiosum,Infectious
necrotizing fasciitis,Infectious
benign vaginal discharge (leukorrhea),Reproductive
bladder obstruction,Urinary
melanoma,Oncological
cervical disorder,Reproductive
laryngitis,ear nose and throat
dyshidrosis,Dermatological
poisoning due to opioids,Toxicology
diaper rash,Dermatological
lichen planus,Dermatological
gastroduodenal ulcer,Gastrointestinal
inguinal hernia,Gastrointestinal
eczema,Dermatological
asperger syndrome,Neurological
mucositis,Oral
paronychia,Infectious
open wound of the jaw,Oral
white blood cell disease,Hematological
kaposi sarcoma,Oncological
spondylolisthesis,Musculoskeletal
pseudotumor cerebri,Neurological
conjunctivitis due to virus,Ophthalmological
open wound of the nose,ear nose and throat
